startterminal hour startcount endcount
31030 8 805 64
31031 8 370 67
31032 8 149 30
31033 8 378 35
31034 8 112 63
31035 8 471 15
31036 8 287 21
31037 8 114 339
31038 8 69 101
31039 8 128 82
31040 8 24 44
31041 8 32 112
31042 8 32 151
31043 8 39 80
31044 8 66 83
31045 8 12 90
31046 8 25 3
31047 8 183 38
31048 8 278 63
31049 8 105 16
31050 8 77 1
31051 8 110 2
31052 8 4 1
31100 8 445 2553
31101 8 3133 749
31102 8 3278 212
31103 8 3833 427
31104 8 2496 742
31105 8 2226 337
31106 8 2754 1918
31107 8 2366 290
31108 8 1641 602
31109 8 2166 309
31110 8 3199 2113
31111 8 2042 525
31112 8 601 74
31113 8 2209 225
31115 8 2039 58
31116 8 2275 376
31200 8 4066 5500
31201 8 2727 1786
31202 8 1780 714
31203 8 2995 870
31204 8 1097 2531
31205 8 984 4106
31206 8 95 1742
31207 8 908 223
31208 8 350 1498
31209 8 32 318
31210 8 22 159
31211 8 83 393
31212 8 1761 3132
31213 8 1152 2781
31214 8 2565 1435
31215 8 185 1602
31216 8 642 2969
31217 8 196 2495
31218 8 1218 1978
31219 8 513 1930
31220 8 551 2796
31221 8 590 2735
31222 8 435 2408
31223 8 2567 792
31224 8 458 2490
31225 8 455 1886
31226 8 747 415
31227 8 678 2683
31228 8 924 2339
31229 8 2144 595
31230 8 603 3615
31231 8 321 3210
31232 8 812 2284
31233 8 606 3230
31234 8 1153 1680
31235 8 211 2805
31236 8 243 1335
31237 8 1562 1471
31238 8 488 2873
31239 8 2324 3615
31240 8 188 269
31241 8 4315 3382
31242 8 437 2117
31243 8 224 1919
31244 8 1068 1750
31245 8 2395 673
31246 8 800 1412
31247 8 500 833
31248 8 363 687
31249 8 351 294
31250 8 107 1022
31251 8 766 570
31252 8 123 1189
31253 8 93 1326
31254 8 185 1059
31255 8 388 980
31256 8 151 775
31257 8 528 786
31258 8 56 124
31300 8 658 223
31301 8 116 321
31302 8 1109 86
31303 8 699 231
31304 8 891 205
31305 8 700 577
31306 8 1099 42
31307 8 1110 191
31400 8 1546 241
31401 8 1439 52
31402 8 453 42
31404 8 1033 46
31500 8 600 69
31501 8 141 14
31502 8 134 28
31503 8 1659 229
31504 8 814 49
31505 8 753 329
31506 8 1677 129
31507 8 73 203
31508 8 215 112
31600 8 2783 1074
31601 8 340 178
31602 8 1923 333
31603 8 1748 2307
31604 8 1942 1603
31605 8 1371 1372
31606 8 1103 321
31607 8 1322 202
31608 8 182 488
31609 8 497 346
31610 8 1404 885
31611 8 1273 283
31612 8 1953 369
31613 8 1623 3119
31614 8 1675 118
31615 8 1473 180
