fips	june2011	dec2012
55051	0.7153	0.6146
55053	0.7141	0.6929
55055	0.9460	0.9402
55057	0.8069	0.9181
55059	0.9961	0.9962
55061	0.9852	0.9849
55063	0.9869	0.9446
55065	0.8623	0.8245
55067	0.8346	0.8260
55069	0.6206	0.7242
55071	0.9994	0.9994
55073	0.8645	0.8776
55075	0.7753	0.7371
55077	0.6334	0.9653
55078	0.9754	0.9834
55079	1.0000	0.9999
55081	0.8751	0.8083
55083	0.9346	0.9085
55085	0.8323	0.8526
55087	0.9942	0.9974
55089	0.9996	0.9998
55091	0.9096	0.8109
55093	0.8068	0.7482
55095	0.9377	0.8826
55097	0.9287	0.9856
55099	0.7666	0.6360
55101	0.9987	0.9961
55103	0.7392	0.7168
55105	0.9763	0.9875
55107	0.8102	0.6623
55109	0.9636	0.9497
55111	0.8672	0.8963
55113	0.8498	0.7125
55115	0.9997	0.9996
55117	0.9973	0.9975
55119	0.5759	0.5433
55121	0.9134	0.7933
55123	0.9875	0.8351
55125	0.5060	0.7541
55127	0.9596	0.9660
55129	0.7214	0.6354
55131	0.9996	0.9991
55133	0.9995	0.9938
55135	0.7914	0.9405
55137	0.7658	0.9215
55139	0.9992	0.9998
55141	0.9232	0.9946
56001	0.9331	0.9386
56003	0.9359	0.9293
56005	0.9578	0.9602
56007	0.6079	0.5545
56009	0.8577	0.8786
56011	0.6257	0.5790
56013	0.7446	0.8758
56015	0.9221	0.9065
56017	0.9254	0.9464
56019	0.8062	0.8271
56021	0.9630	0.9742
56023	0.6949	0.7258
56025	0.9607	0.9699
56027	0.7797	0.7802
56029	0.6583	0.7538
56031	0.7490	0.7544
56033	0.9315	0.9320
56035	0.7642	0.7683
56037	0.8946	0.9346
56039	0.8649	0.8764
56041	0.6577	0.6181
56043	0.9474	0.9505
56045	0.6111	0.6081
60010	0.2039	0.7783
60020	0.0000	0.0000
60030	0	0.0000
60040	0.0000	0.0000
60050	0.2315	0.8725
66010	0.4572	0.9875
69085	0	0.0000
69100	0.0000	0.5850
69110	0.0000	0.7869
69120	0.0000	0.4673
72001	0.4725	0.2914
72003	0.9791	0.9522
72005	0.9796	0.9359
72007	0.7260	0.4064
72009	0.6702	0.5972
72011	0.5521	0.2856
72013	0.7809	0.7645
72015	0.6638	0.6865
72017	0.8410	0.6038
72019	0.7954	0.6187
72021	0.9764	0.9828
72023	0.5679	0.8257
72025	0.8781	0.5629
72027	0.6761	0.7269
72029	0.7416	0.4337
72031	0.8954	0.8054
72033	0.8824	0.9937
72035	0.7235	0.7265
72037	0.7294	0.5367
72039	0.6197	0.3643
72041	0.6484	0.5062
72043	0.6971	0.3165
72045	0.6826	0.7580
72047	0.7246	0.6708
72049	0.1430	0.4173
72051	0.9854	0.9662
72053	0.7842	0.8909
72054	0.9834	0.8756
72055	0.7695	0.7490
72057	0.6571	0.7265
72059	0.7178	0.9651
72061	0.9728	0.9734
72063	0.8166	0.2163
72065	0.9027	0.8110
72067	0.9851	0.9982
72069	0.9013	0.7454
72071	0.9041	0.5388
72073	0.7855	0.5300
72075	0.8041	0.7301
72077	0.9066	0.5973
72079	0.8534	0.7633
72081	0.8302	0.3075
72083	0.3028	0.4615
72085	0.8242	0.1574
72087	0.4125	0.8043
72089	0.8910	0.6609
72091	0.8721	0.5599
72093	0.5883	0.2069
72095	0.7736	0.3294
72097	0.8892	0.8744
72099	0.9632	0.7393
72101	0.7808	0.9360
72103	0.5561	0.0767
72105	0.9096	0.8286
72107	0.4842	0.1463
